timestamp,system_time,wheel_x,wheel_y,wheel_yaw_deg,wheel_vx,wheel_vy,wheel_wz,ekf_x,ekf_y,ekf_yaw_deg,ekf_vx,ekf_vy,ekf_wz,imu_yaw_deg,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,cmd_stage2_linear,cmd_stage2_angular,cmd_lane_linear,cmd_lane_angular,cmd_final_linear,cmd_final_angular,front_dist,front_angle_deg,left_dist,right_dist,phase,mission_state,feedback,avoid_state,avoid_leg_m,avoid_turn_deg,plan_index,seg_type,seg_desc
1780714876.424639,1780714876.424741,0.40727826952934265,1.9105044603347778,52.3859799904887,0.07800000160932541,0.0,-0.16099999845027924,0.4651916432508033,1.8036494692020193,45.24308137593297,0.07417324990004978,0.0,-0.24199037854226996,44.70224032026896,-0.08732893317937851,-0.021533161401748657,9.759306907653809,-0.0013322000158950686,0.0007993200561031699,-0.21048760414123535,0.08,-0.8,0.0,0.0,0.08,-0.8,inf,0.0,inf,inf,0,rect_corner_1,惯导参数测试当前位置: 左下拐角，开始右转 80 度,,0.0,0.0,-1,,
1780714877.424688,1780714877.424793,0.4641478359699249,1.9760328531265259,40.1427395447412,0.07800000160932541,0.0,-0.16099999845027924,0.5296769487218519,1.856007378145142,32.03575454259749,0.0878990492227086,0.0,-0.24199991774494878,31.254249193529358,-0.07058091461658478,-0.04665518179535866,9.882524490356445,-0.007193880155682564,-0.0077267601154744625,-0.24805565178394318,0.08,-0.8,0.0,0.0,0.08,-0.8,inf,0.0,inf,inf,0,rect_corner_1,惯导参数测试当前位置: 左下拐角，开始右转 80 度,,0.0,0.0,-1,,
1780714878.424903,1780714878.425021,0.5313610434532166,2.0273818969726562,29.294862350197693,0.08500000089406967,0.0,-0.24199999868869781,0.6032451147355896,1.8915451773402345,18.83918069521004,0.08771434687834048,0.0,-0.24199991756767894,18.042095387673456,0.07058091461658478,-0.056225478649139404,9.788018226623535,-0.012256240472197533,0.0,-0.24405904114246368,0.08,-0.5588090040042206,0.0,0.0,0.08,-0.5588090040042206,inf,0.0,inf,inf,0,rect_corner_1,惯导参数测试当前位置: 左下拐角，开始右转 80 度,,0.0,0.0,-1,,
1780714879.424642,1780714879.424746,0.6119706034660339,2.065925359725952,17.517483494527376,0.09099999815225601,0.0,-0.16099999845027924,0.6885635542339673,1.9098246563289754,4.882497435490124,0.07961999818938924,0.0,-0.16101725686456386,4.210177572837057,-0.18063929677009583,0.010766580700874329,9.882524490356445,-0.003463720204308629,0.0007993200561031699,-0.2278062105178833,0.08,-0.18,0.0,0.0,0.08,-0.18,inf,0.0,inf,inf,0,rect_corner_1,惯导参数测试当前位置: 左下拐角，开始右转 80 度,,0.0,0.0,-1,,
1780714880.424596,1780714880.424697,0.7347638607025146,2.097503185272217,13.819395389187154,0.19599999487400055,0.0,0.16099999845027924,0.8045816287837305,1.909905086718997,-0.7873941894723623,0.19939090005104249,0.0,0.16098601555967965,-0.45631466426036,-0.009570294059813023,0.12202125042676926,9.882524490356445,0.007193880155682564,-0.003996599931269884,0.10924040526151657,0.24,0.058157849311828706,0.0,0.0,0.24,0.058157849311828706,inf,0.0,inf,inf,0,rect_side_1,惯导参数测试当前位置: 左边向上 0.50m 段，目标直行 0.50m,,0.0,0.0,-1,,
1780714881.424679,1780714881.424787,0.9608078598976135,2.1671202182769775,16.124046356669318,0.23499999940395355,0.0,0.0,1.033609378730666,1.9134562169381573,1.4879381478688452,0.24675714050034964,0.0,-0.07998271857559927,1.5132389600529361,-0.08015121519565582,-0.0813474953174591,10.004546165466309,0.00452948035672307,0.009591840207576752,0.00452948035672307,0.24,-0.01907958984374991,0.0,0.0,0.24,-0.01907958984374991,inf,0.0,inf,inf,0,rect_side_1,惯导参数测试当前位置: 左边向上 0.50m 段，目标直行 0.50m,,0.0,0.0,-1,,
1780714882.424653,1780714882.424758,1.1744468212127686,2.2340760231018066,11.736654706517767,0.15000000596046448,0.0,-0.40400001406669617,1.2599912525300052,1.9171743560524317,-2.724256020759118,0.15973659153906625,0.0,-0.32299993287024087,-4.0891030116612965,-0.265575647354126,-0.2763422429561615,9.777251243591309,-0.012256240472197533,-0.0031972802244126797,-0.40152508020401,0.08,-0.8,0.0,0.0,0.08,-0.8,inf,0.0,inf,inf,0,rect_corner_2,惯导参数测试当前位置: 左上拐角，开始右转 90 度,,0.0,0.0,-1,,
1780714883.424673,1780714883.424775,1.2761374711990356,2.2437868118286133,-2.359682015068369,0.07800000160932541,0.0,-0.3230000138282776,1.364241139790463,1.896863307101748,-20.056244989163815,0.07921531699296411,0.0,-0.1610143688533769,-20.716340952073633,-0.1064695194363594,-0.06101062521338463,9.868169784545898,-0.004795920103788376,0.0,-0.22860552370548248,0.08,-0.8,0.0,0.0,0.08,-0.8,inf,0.0,inf,inf,0,rect_corner_2,惯导参数测试当前位置: 左上拐角，开始右转 90 度,,0.0,0.0,-1,,
1780714884.424650,1780714884.424752,1.3527644872665405,2.2316596508026123,-14.368725306016477,0.08500000089406967,0.0,-0.24199999868869781,1.4326842926391192,1.8635558492627036,-32.72904848430197,0.07224470808196308,0.0,-0.24199358851918334,-33.38210156483571,-0.045458897948265076,-0.04785146936774254,9.862188339233398,-0.01198980025947094,-0.002397960051894188,-0.2278062105178833,0.08,-0.8,0.0,0.0,0.08,-0.8,inf,0.0,inf,inf,0,rect_corner_2,惯导参数测试当前位置: 左上拐角，开始右转 90 度,,0.0,0.0,-1,,
1780714885.424643,1780714885.424744,1.4271265268325806,2.2022392749786377,-25.921795626701694,0.08500000089406967,0.0,-0.24199999868869781,1.4952768019474585,1.812867963398831,-46.02752385510598,0.07986936904394489,0.0,-0.1609999984502793,-46.82234594864147,-0.0945066511631012,-0.03708488866686821,9.847832679748535,-0.00905896071344614,-0.006128120236098766,-0.24086177349090576,0.08,-0.8,0.0,0.0,0.08,-0.8,inf,0.0,inf,inf,0,rect_corner_2,惯导参数测试当前位置: 左上拐角，开始右转 90 度,,0.0,0.0,-1,,
1780714886.424652,1780714886.424757,1.4980316162109375,2.15425443649292,-38.16341561006862,0.07800000160932541,0.0,-0.16099999845027924,1.546081992002215,1.7463260744808373,-59.68778445133771,0.07346395208561576,0.0,-0.24199991769831442,-60.403888994512364,-0.029907168820500374,0.014355440624058247,9.863384246826172,-0.008792520500719547,0.0002664400089997798,-0.22141164541244507,0.08,-0.8,0.0,0.0,0.08,-0.8,inf,0.0,inf,inf,0,rect_corner_2,惯导参数测试当前位置: 左上拐角，开始右转 90 度,,0.0,0.0,-1,,
1780714887.424644,1780714887.424747,1.5552347898483276,2.095644235610962,-49.009257408239456,0.08500000089406967,0.0,-0.24199999868869781,1.5781408002113664,1.6745050212543993,-72.74055729183748,0.06769855485484721,0.0,-0.1610115561332856,-73.38351056784872,0.0023925735149532557,-0.09570293873548508,9.816729545593262,-0.013055560179054737,-0.009325399994850159,-0.22540824115276337,0.08,-0.8,0.0,0.0,0.08,-0.8,inf,0.0,inf,inf,0,rect_corner_2,惯导参数测试当前位置: 左上拐角，开始右转 90 度,,0.0,0.0,-1,,
1780714888.424673,1780714888.424780,1.6004759073257446,2.024430990219116,-61.70381967886847,0.07800000160932541,0.0,-0.3230000138282776,1.5939703412992599,1.5956438421124366,-85.35961805225928,0.08922265347453218,0.0,-0.24200037870342533,-86.73884395455002,-0.05981433764100075,-0.06699205935001373,9.845439910888672,-0.0173186007887125,0.008526080287992954,-0.23020416498184204,0.08,-0.4487363417916974,0.0,0.0,0.08,-0.4487363417916974,inf,0.0,inf,inf,0,rect_corner_2,惯导参数测试当前位置: 左上拐角，开始右转 90 度,,0.0,0.0,-1,,
1780714889.424759,1780714889.424868,1.6328387260437012,1.9378966093063354,-74.41810753582048,0.07800000160932541,0.0,-0.16099999845027924,1.5903361786553194,1.5047636232063626,-99.704327674932,0.09003641980268065,0.0,-0.24199932075944836,-100.32000691261591,-0.04067374765872955,-0.14235812425613403,9.722222328186035,-0.010391159914433956,0.0013322000158950686,-0.21688216924667358,0.24,0.03872871398925746,0.0,0.0,0.24,0.03872871398925746,inf,0.0,inf,inf,0,rect_top,惯导参数测试当前位置: 顶边向右 3.00m 段，目标直行 3.00m,,0.0,0.0,-1,,
1780714890.424646,1780714890.424751,1.6785465478897095,1.7503631114959717,-73.27430356684265,0.23499999940395355,0.0,0.0,1.558512971843392,1.3374988960830618,-99.03495211749009,0.248828892567221,0.0,1.6635257604008524e-05,-98.84211678366631,-0.05383290350437164,0.0023925735149532557,9.796392440795898,-0.01332200039178133,0.017851481214165688,0.07753404229879379,0.24,0.019639015197753906,0.0,0.0,0.24,0.019639015197753906,inf,0.0,inf,inf,0,rect_top,惯导参数测试当前位置: 顶边向右 3.00m 段，目标直行 3.00m,,0.0,0.0,-1,,
